Time(seconds),Bus Name,Signal Name,Data
3.941083000,Async 5,Digital 6,00
3.941170000,Async 5,Digital 6,BF
3.941257000,Async 5,Digital 6,FE
3.941343000,Async 5,Digital 6,CF
3.941430000,Async 5,Digital 6,FE
3.941517000,Async 5,Digital 6,DB
3.941603000,Async 5,Digital 6,FF
3.941690000,Async 5,Digital 6,7B
3.941777000,Async 5,Digital 6,87
3.941959000,Async 5,Digital 6,04
3.942046000,Async 5,Digital 6,38
3.942132000,Async 5,Digital 6,04
3.942219000,Async 5,Digital 6,46
3.942306000,Async 5,Digital 6,00
3.942392000,Async 5,Digital 6,40
3.942479000,Async 5,Digital 6,1F
3.942653000,Async 5,Digital 6,02
3.942739000,Async 5,Digital 6,46
3.942826000,Async 5,Digital 6,20
3.942913000,Async 5,Digital 6,0C
3.942999000,Async 5,Digital 6,00
3.943086000,Async 5,Digital 6,08
3.943173000,Async 5,Digital 6,00
3.943260000,Async 5,Digital 6,01
3.943346000,Async 5,Digital 6,00
3.943433000,Async 5,Digital 6,02
3.943520000,Async 5,Digital 6,03
3.943606000,Async 5,Digital 6,04
3.943693000,Async 5,Digital 6,00
3.943780000,Async 5,Digital 6,01
3.943867000,Async 5,Digital 6,00
3.943953000,Async 5,Digital 6,4A
3.944040000,Async 5,Digital 6,00
3.944278000,Async 5,Digital 5,02
3.944365000,Async 5,Digital 5,46
3.944452000,Async 5,Digital 5,00
3.944539000,Async 5,Digital 5,10
3.944625000,Async 5,Digital 5,00
3.944712000,Async 5,Digital 5,0C
3.944799000,Async 5,Digital 5,00
3.944886000,Async 5,Digital 5,01
3.944973000,Async 5,Digital 5,00
3.945060000,Async 5,Digital 5,03
3.945147000,Async 5,Digital 5,03
3.945234000,Async 5,Digital 5,08
3.945321000,Async 5,Digital 5,00
3.945408000,Async 5,Digital 5,40
3.945495000,Async 5,Digital 5,00
3.945582000,Async 5,Digital 5,4A
3.945669000,Async 5,Digital 5,00
3.945756000,Async 5,Digital 5,00
3.945843000,Async 5,Digital 5,00
3.945930000,Async 5,Digital 5,00
3.946016000,Async 5,Digital 5,00
3.946103000,Async 5,Digital 5,02
3.946190000,Async 5,Digital 5,46
3.946277000,Async 5,Digital 5,00
3.946364000,Async 5,Digital 5,10
3.946451000,Async 5,Digital 5,00
3.946538000,Async 5,Digital 5,0C
3.946625000,Async 5,Digital 5,00
3.946712000,Async 5,Digital 5,01
3.946799000,Async 5,Digital 5,00
3.946886000,Async 5,Digital 5,04
3.946973000,Async 5,Digital 5,01
3.947060000,Async 5,Digital 5,08
3.947147000,Async 5,Digital 5,00
3.947234000,Async 5,Digital 5,4A
3.947321000,Async 5,Digital 5,00
3.947407000,Async 5,Digital 5,00
3.947494000,Async 5,Digital 5,00
3.947581000,Async 5,Digital 5,01
3.947668000,Async 5,Digital 5,02
3.947755000,Async 5,Digital 5,28
3.947842000,Async 5,Digital 5,01
3.971181000,Async 5,Digital 6,04
3.971267000,Async 5,Digital 6,13
3.971354000,Async 5,Digital 6,05
3.971441000,Async 5,Digital 6,01
3.971527000,Async 5,Digital 6,46
3.971614000,Async 5,Digital 6,00
3.971701000,Async 5,Digital 6,01
3.971788000,Async 5,Digital 6,00
3.972637000,Async 5,Digital 6,02
3.972724000,Async 5,Digital 6,46
3.972811000,Async 5,Digital 6,20
3.972897000,Async 5,Digital 6,10
3.972984000,Async 5,Digital 6,00
3.973071000,Async 5,Digital 6,0C
3.973158000,Async 5,Digital 6,00
3.973244000,Async 5,Digital 6,01
3.973331000,Async 5,Digital 6,00
3.973418000,Async 5,Digital 6,04
3.973504000,Async 5,Digital 6,04
3.973591000,Async 5,Digital 6,08
3.973678000,Async 5,Digital 6,00
3.973765000,Async 5,Digital 6,40
3.973851000,Async 5,Digital 6,00
3.973938000,Async 5,Digital 6,00
3.974025000,Async 5,Digital 6,00
3.974111000,Async 5,Digital 6,01
3.974198000,Async 5,Digital 6,02
3.974285000,Async 5,Digital 6,A0
3.974371000,Async 5,Digital 6,02
3.974587000,Async 5,Digital 5,02
3.974674000,Async 5,Digital 5,46
3.974761000,Async 5,Digital 5,00
3.974848000,Async 5,Digital 5,12
3.974935000,Async 5,Digital 5,00
3.975022000,Async 5,Digital 5,0E
3.975109000,Async 5,Digital 5,00
3.975196000,Async 5,Digital 5,01
3.975283000,Async 5,Digital 5,00
3.975370000,Async 5,Digital 5,05
3.975457000,Async 5,Digital 5,04
3.975544000,Async 5,Digital 5,0A
3.975631000,Async 5,Digital 5,00
3.975718000,Async 5,Digital 5,4A
3.975805000,Async 5,Digital 5,00
3.975892000,Async 5,Digital 5,00
3.975979000,Async 5,Digital 5,00
3.976066000,Async 5,Digital 5,00
3.976152000,Async 5,Digital 5,00
3.976239000,Async 5,Digital 5,01
3.976326000,Async 5,Digital 5,02
3.976413000,Async 5,Digital 5,A0
3.976500000,Async 5,Digital 5,02
3.976522000,Async 5,Digital 6,04
3.976643000,Async 5,Digital 6,13
3.976730000,Async 5,Digital 6,05
3.976817000,Async 5,Digital 6,01
3.976903000,Async 5,Digital 6,46
3.976990000,Async 5,Digital 6,00
3.977077000,Async 5,Digital 6,01
3.977164000,Async 5,Digital 6,00
3.977380000,Async 5,Digital 6,02
3.977467000,Async 5,Digital 6,46
3.977554000,Async 5,Digital 6,20
3.977641000,Async 5,Digital 6,0E
3.977727000,Async 5,Digital 6,00
3.977814000,Async 5,Digital 6,0A
3.977901000,Async 5,Digital 6,00
3.977987000,Async 5,Digital 6,01
3.978074000,Async 5,Digital 6,00
3.978161000,Async 5,Digital 6,05
3.978247000,Async 5,Digital 6,01
3.978334000,Async 5,Digital 6,06
3.978421000,Async 5,Digital 6,00
3.978508000,Async 5,Digital 6,40
3.978594000,Async 5,Digital 6,00
3.978681000,Async 5,Digital 6,00
3.978768000,Async 5,Digital 6,00
3.978854000,Async 5,Digital 6,00
3.978941000,Async 5,Digital 6,00
3.981170000,Async 5,Digital 6,04
3.981256000,Async 5,Digital 6,13
3.981343000,Async 5,Digital 6,05
3.981430000,Async 5,Digital 6,01
3.981516000,Async 5,Digital 6,46
3.981603000,Async 5,Digital 6,00
3.981690000,Async 5,Digital 6,01
3.981777000,Async 5,Digital 6,00
3.983762000,Async 5,Digital 6,02
3.983849000,Async 5,Digital 6,46
3.983936000,Async 5,Digital 6,20
3.984022000,Async 5,Digital 6,18
3.984109000,Async 5,Digital 6,00
3.984196000,Async 5,Digital 6,14
3.984283000,Async 5,Digital 6,00
3.984369000,Async 5,Digital 6,40
3.984456000,Async 5,Digital 6,00
3.984543000,Async 5,Digital 6,06
3.984629000,Async 5,Digital 6,00
3.984716000,Async 5,Digital 6,00
3.984803000,Async 5,Digital 6,00
3.984890000,Async 5,Digital 6,0F
3.984976000,Async 5,Digital 6,35
3.985063000,Async 5,Digital 6,03
3.985150000,Async 5,Digital 6,19
3.985236000,Async 5,Digital 6,12
3.985323000,Async 5,Digital 6,00
3.985410000,Async 5,Digital 6,02
3.985497000,Async 5,Digital 6,90
3.985583000,Async 5,Digital 6,35
3.985670000,Async 5,Digital 6,05
3.985757000,Async 5,Digital 6,0A
3.985843000,Async 5,Digital 6,00
3.985930000,Async 5,Digital 6,00
3.986017000,Async 5,Digital 6,FF
3.986103000,Async 5,Digital 6,FF
3.986190000,Async 5,Digital 6,00
3.986609000,Async 5,Digital 5,02
3.986696000,Async 5,Digital 5,46
3.986783000,Async 5,Digital 5,00
3.986870000,Async 5,Digital 5,0F
3.986956000,Async 5,Digital 5,00
3.987043000,Async 5,Digital 5,0B
3.987130000,Async 5,Digital 5,00
3.987217000,Async 5,Digital 5,4A
3.987304000,Async 5,Digital 5,00
3.987391000,Async 5,Digital 5,07
3.987478000,Async 5,Digital 5,00
3.987565000,Async 5,Digital 5,00
3.987652000,Async 5,Digital 5,00
3.987739000,Async 5,Digital 5,06
